datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-07-20 19:12:24,0.4,419.9,65.66666666666667,22.0,20.81,-1.0,-1.0
2020-07-20 21:40:26,0.0,408.7,67.66666666666667,23.0,20.87,6.57,-1.0
2020-07-20 22:46:04,0.8,413.1,67.33333333333333,22.0,20.94,6.61,0.95
2020-07-21 10:17:23,1.6,410.1,60.666666666666664,22.0,20.62,7.08,-1.0
2020-07-21 10:37:57,0.3,412.3,57.333333333333336,22.0,20.62,7.02,-1.0
2020-07-21 11:48:11,0.5,410.7,42.666666666666664,14.666666666666666,20.56,6.85,-1.0
2020-07-21 12:53:34,0.3,412.6,63.666666666666664,21.0,20.50,-1.0,-1.0
2020-07-21 15:28:40,0.0,410.8,64.0,21.0,20.44,6.67,-1.0
2020-07-21 17:03:18,1.7,413.5,53.333333333333336,21.666666666666668,20.37,6.18,0.79
2020-07-22 10:23:37,0.6,404.4,63.0,21.0,20.62,7.01,-1.0
2020-07-22 14:50:20,0.0,408.6,58.0,21.0,20.37,-1.0,0.96
2020-07-22 17:27:43,0.3,412.4,62.0,22.333333333333332,20.25,-1.0,-1.0
2020-07-22 18:32:18,5.2,403.5,52.333333333333336,25.0,20.25,-1.0,-1.0
2020-07-22 20:02:22,1.9,404.7,50.666666666666664,26.0,20.37,6.58,-1.0
2020-07-22 21:12:51,8.8,403.8,50.333333333333336,26.0,20.50,6.52,-1.0
2020-07-23 00:37:53,5.0,407.5,49.333333333333336,26.0,20.69,-1.0,-1.0
2020-07-23 14:30:57,1.1,407.5,54.666666666666664,20.0,18.56,6.67,0.42
2020-07-23 15:41:21,1.3,411.5,57.0,21.0,18.81,-1.0,-1.0
2020-07-23 16:46:39,0.3,419.4,54.0,21.0,19.00,-1.0,-1.0
2020-07-23 17:51:44,0.8,420.7,56.0,21.0,19.12,6.35,-1.0
2020-07-23 18:56:59,0.2,417.2,52.666666666666664,22.0,19.31,6.36,-1.0
2020-07-23 20:11:20,0.6,409.6,53.0,22.0,19.56,-1.0,-1.0
2020-07-23 21:16:40,0.7,407.8,50.0,22.0,19.69,6.41,-1.0
2020-07-24 10:13:18,1.0,408.8,53.666666666666664,21.0,20.06,5.38,0.66
2020-07-24 11:53:14,0.7,412.4,53.666666666666664,21.0,20.00,-1.0,-1.0
2020-07-24 12:59:00,0.4,419.7,57.0,21.0,20.00,-1.0,-1.0
2020-07-24 14:53:14,0.5,410.4,55.0,21.0,20.00,-1.0,-1.0
2020-07-24 15:59:11,0.0,412.6,58.0,21.0,20.00,-1.0,-1.0
2020-07-24 17:04:13,0.2,423.9,61.0,21.0,20.00,5.1,-1.0
2020-07-24 18:08:55,0.0,419.1,61.0,22.0,20.00,5.1,-1.0
2020-07-24 19:23:16,0.5,421.1,63.0,22.0,20.12,5.01,-1.0
2020-07-24 21:43:57,0.0,418.9,42.333333333333336,14.666666666666666,20.31,-1.0,-1.0
2020-07-24 23:13:16,0.0,411.2,61.666666666666664,22.0,20.37,5.09,-1.0
2020-07-25 10:23:12,1.3,412.8,63.0,21.666666666666668,20.31,5.13,-1.0
2020-07-25 12:38:35,0.6,410.1,62.0,21.0,20.25,4.69,0.75
2020-07-25 16:23:14,1.7,412.1,63.333333333333336,21.666666666666668,20.12,6.53,-1.0
2020-07-25 17:28:53,0.6,410.6,64.33333333333333,22.0,20.12,-1.0,-1.0
2020-07-25 23:59:17,0.2,411.8,61.0,22.0,00,6.53,-1.0
2020-07-26 10:23:27,0.2,411.7,65.0,21.0,20.44,-1.0,-1.0
2020-07-26 12:38:28,0.7,410.8,64.0,21.666666666666668,20.37,-1.0,-1.0
2020-07-26 13:44:03,0.1,408.3,63.333333333333336,22.0,20.37,6.48,-1.0
2020-07-26 14:58:50,0.3,413.5,65.0,21.0,20.31,6.63,0.82
2020-07-27 10:23:15,0.0,406.0,81.0,21.0,20.81,-1.0,-1.0
2020-07-27 11:49:46,0.2,408.6,71.33333333333333,23.0,20.69,-1.0,-1.0
2020-07-27 12:05:10,0.9,412.4,65.0,22.0,20.69,6.72,-1.0
2020-07-27 13:15:31,0.1,407.4,68.0,21.0,20.62,-1.0,-1.0
2020-07-27 14:40:23,0.4,410.1,72.33333333333333,21.0,20.56,4.69,0.76
2020-07-27 15:50:45,0.5,413.3,69.33333333333333,21.0,20.56,-1.0,-1.0
2020-07-27 17:20:23,3.6,411.5,68.0,22.0,20.50,-1.0,-1.0
2020-07-27 18:50:39,8.0,413.1,66.0,22.0,20.56,-1.0,-1.0
2020-07-27 19:56:15,0.4,409.1,68.0,22.0,20.62,6.83,-1.0
2020-07-27 21:05:47,0.2,417.7,66.66666666666667,22.0,20.62,-1.0,-1.0
2020-07-27 23:25:24,9.9,410.3,68.33333333333333,23.0,20.75,6.78,-1.0
2020-07-28 10:56:32,7.2,411.9,72.0,22.0,20.81,-1.0,-1.0
2020-07-28 15:01:49,0.0,410.4,72.0,22.0,00,6.86,-1.0
2020-07-28 16:06:49,0.3,414.1,72.66666666666667,22.0,20.69,-1.0,-1.0
